bw	num	pct	qlen	maxq	avgq	maxd	avgd	rate
---------------------------------------------------------------------------
0.5	1	0.68	6	5.5	0.0	85	0	36.8 (0.57)
0.5	2	0.68	6	5.5	0.1	85	1	37.8 (0.59)
0.5	3	0.68	6	5.5	0.1	85	1	39.4 (0.62)
0.5	4	0.68	6	7.5	0.1	117	1	40.3 (0.63)
0.5	5	0.68	6	9.5	0.1	148	1	40.6 (0.63)
0.5	6	0.68	6	11.5	0.2	179	2	41.0 (0.64)
0.5	8	0.68	6	15.0	0.2	234	3	41.8 (0.65)
0.5	10	0.68	6	19.0	0.3	296	4	42.2 (0.66)
0.5	12	0.68	6	23.0	0.4	359	6	42.2 (0.66)
0.5	14	0.68	6	27.0	0.5	421	7	42.3 (0.66)
0.5	16	0.68	6	31.0	0.8	484	12	42.3 (0.66)
0.5	20	0.68	6	31.5	0.7	492	10	42.3 (0.66)
0.5	24	0.68	6	31.5	0.9	492	14	42.4 (0.66)
0.5	30	0.68	6	31.5	0.8	492	12	42.4 (0.66)
0.5	40	0.68	6	31.5	0.9	492	13	42.4 (0.66)
1	1	0.75	9	14.0	0.0	109	0	79.0 (0.62)
1	2	0.75	9	14.0	0.0	109	0	80.4 (0.63)
1	3	0.75	9	13.0	0.0	101	0	81.4 (0.64)
1	4	0.75	9	14.5	0.1	113	0	83.1 (0.65)
1	5	0.75	9	19.0	0.2	148	1	83.5 (0.65)
1	6	0.75	9	20.5	0.2	160	1	85.2 (0.67)
1	8	0.75	9	16.5	0.3	128	1	86.0 (0.67)
1	10	0.75	9	20.5	0.3	160	2	86.8 (0.68)
1	12	0.75	9	24.0	0.3	187	2	88.5 (0.69)
1	14	0.75	9	27.0	0.3	210	2	90.4 (0.71)
1	16	0.75	9	31.0	0.3	242	2	91.3 (0.71)
1	20	0.75	9	38.5	0.5	300	3	93.2 (0.73)
1	24	0.75	9	46.5	0.6	363	4	93.4 (0.73)
1	30	0.75	9	58.0	0.8	453	6	93.4 (0.73)
1	40	0.75	9	62.5	1.2	488	9	93.4 (0.73)
2	1	0.81	9	17.0	0.0	66	0	153.2 (0.60)
2	2	0.81	9	17.0	0.0	66	0	159.3 (0.62)
2	3	0.81	9	18.5	0.0	72	0	162.8 (0.64)
2	4	0.81	9	18.5	0.1	72	0	166.2 (0.65)
2	5	0.81	9	19.5	0.0	76	0	166.4 (0.65)
2	6	0.81	9	18.5	0.1	72	0	169.1 (0.66)
2	8	0.81	9	20.5	0.1	80	0	173.4 (0.68)
2	10	0.81	9	22.5	0.2	87	0	176.6 (0.69)
2	12	0.81	9	31.0	0.3	121	1	179.7 (0.70)
2	14	0.81	9	31.0	0.3	121	1	182.5 (0.71)
2	16	0.81	9	31.0	0.4	121	1	184.6 (0.72)
2	20	0.81	9	38.5	0.6	150	2	191.5 (0.75)
2	24	0.81	9	49.0	0.7	191	2	194.6 (0.76)
2	30	0.81	9	58.0	0.9	226	3	200.0 (0.78)
2	40	0.81	9	94.0	1.5	367	5	201.7 (0.79)
3	1	0.84	9	21.0	0.0	54	0	222.6 (0.58)
