bw	ftp	rftp	web	qlen	maxd	avgd	rate
--------------------------------------------------------------------
72	47	0	79	1000	164	8	8530 (0.95)
10	43	0	41	1000	620	25	1247 (1.00)
23	10	3	78	1000	395	22	2509 (0.87)
70	5	2	1	1000	156	20	8352 (0.95)
32	46	2	28	1000	366	21	3717 (0.93)
99	21	3	79	1000	120	25	11519 (0.93)
42	9	0	5	1000	283	5	4501 (0.86)
5	40	2	41	1000	766	35	611 (0.98)
80	26	2	75	1000	148	20	9050 (0.91)
11	33	3	41	1000	744	31	1339 (0.97)
83	50	1	49	1000	144	22	9601 (0.93)
14	61	2	20	1000	617	26	1729 (0.99)
76	63	0	80	1000	156	9	9108 (0.96)
48	18	3	55	1000	228	24	5394 (0.90)
38	42	0	40	1000	311	12	4512 (0.95)
56	21	3	46	1000	212	24	6390 (0.91)
57	38	2	66	1000	206	18	6540 (0.92)
20	48	3	58	1000	550	26	2429 (0.97)
58	2	0	31	1000	161	2	6678 (0.92)
16	7	1	67	1000	332	23	1739 (0.87)
54	2	3	10	1000	213	24	5308 (0.79)
42	47	1	4	1000	283	17	4899 (0.93)
6	54	4	51	1000	885	40	739 (0.99)
2	13	2	71	1000	743	56	249 (1.00)
31	6	4	31	1000	237	18	3550 (0.92)
55	19	0	79	1000	215	6	6239 (0.91)
17	37	4	54	1000	632	26	2044 (0.96)
50	15	3	41	1000	229	48	5970 (0.96)
60	30	4	0	1000	199	22	6793 (0.91)
77	23	1	3	1000	155	16	8776 (0.91)
2	6	4	21	1000	350	28	231 (0.92)
33	54	0	69	1000	353	16	3978 (0.96)
73	29	1	8	1000	164	13	8230 (0.90)
6	39	1	47	1000	700	33	737 (0.98)
76	11	3	66	1000	157	31	8946 (0.94)
37	5	3	78	1000	218	37	4059 (0.88)
27	19	0	25	1000	432	11	3105 (0.92)
69	44	2	37	1000	172	15	7975 (0.92)
88	34	1	40	1000	136	23	10020 (0.91)
86	45	4	15	1000	139	20	9938 (0.92)
77	36	1	45	1000	155	19	8801 (0.91)
62	52	2	47	1000	192	17	7210 (0.93)
56	9	4	1	1000	185	38	6484 (0.93)
13	26	3	0	1000	586	23	1512 (0.93)
31	56	2	32	1000	377	21	3655 (0.94)
80	21	1	22	1000	149	29	9217 (0.92)
33	50	3	46	1000	354	18	3850 (0.93)
80	35	2	19	1000	149	20	9158 (0.92)
61	56	0	54	1000	195	9	7287 (0.96)
72	56	0	26	1000	166	8	8545 (0.95)
98	18	3	64	1000	122	40	11673 (0.95)
44	8	4	15	1000	227	39	5078 (0.92)
17	34	3	4	1000	624	26	1972 (0.93)
17	62	1	75	1000	621	28	2109 (0.99)
3	5	4	40	1000	473	25	351 (0.94)
94	25	3	14	1000	127	39	11403 (0.97)
72	10	0	53	1000	165	2	7897 (0.88)
84	55	1	12	1000	143	16	9695 (0.92)
86	37	1	12	1000	139	21	9842 (0.92)
32	33	4	21	1000	335	16	3640 (0.91)
21	58	4	6	1000	527	22	2542 (0.97)
78	57	3	20	1000	153	21	9026 (0.93)
46	5	1	43	1000	231	25	5355 (0.93)
19	63	0	45	1000	600	22	2372 (1.00)
2	32	4	2	1000	976	41	240 (0.96)
41	5	4	66	1000	190	39	4388 (0.86)
65	3	1	56	1000	151	24	7123 (0.88)
84	28	0	22	1000	142	4	9541 (0.91)
80	53	1	10	1000	150	20	9260 (0.93)
78	18	3	22	1000	152	42	9382 (0.96)
56	5	4	63	1000	212	17	6540 (0.93)
82	2	4	14	1000	141	23	8952 (0.87)
84	53	2	70	1000	142	17	9746 (0.93)
33	54	0	60	1000	354	16	3975 (0.96)
15	47	3	37	1000	712	31	1835 (0.98)
10	3	4	4	1000	387	34	1072 (0.86)
56	21	1	62	1000	211	15	6312 (0.90)
25	49	2	70	1000	459	22	2992 (0.96)
29	7	4	40	1000	316	22	3316 (0.91)
65	48	4	28	1000	183	22	7489 (0.92)
2	53	3	14	1000	1482	65	242 (0.97)
72	9	0	3	1000	166	2	7839 (0.87)
99	45	1	65	1000	120	25	11401 (0.92)
75	6	4	74	1000	118	36	8376 (0.89)
75	62	1	27	1000	159	20	8792 (0.94)
27	58	2	69	1000	422	22	3266 (0.97)
35	18	4	13	1000	313	21	3933 (0.90)
21	24	2	51	1000	523	21	2412 (0.92)
93	63	3	3	1000	129	20	10828 (0.93)
23	28	2	61	1000	485	21	2673 (0.93)
28	28	2	79	1000	407	20	3250 (0.93)
46	35	3	50	1000	255	16	5278 (0.92)
55	13	0	15	1000	217	3	6046 (0.88)
54	22	2	36	1000	220	18	6093 (0.90)
58	48	2	53	1000	205	18	6731 (0.93)
97	45	1	15	1000	123	20	11160 (0.92)
25	42	3	66	1000	462	22	2943 (0.94)
64	1	3	29	1000	172	20	5901 (0.74)
75	62	3	20	1000	159	14	8724 (0.93)
43	10	2	37	1000	275	40	5086 (0.95)
73	45	1	63	1000	163	16	8483 (0.93)
20	24	2	38	1000	546	22	2302 (0.92)
19	27	4	67	1000	539	21	2203 (0.93)
25	6	0	29	1000	279	6	2721 (0.87)
15	8	1	49	1000	324	21	1641 (0.88)
61	18	0	62	1000	194	5	6885 (0.90)
23	11	3	19	1000	406	18	2531 (0.88)
87	16	3	2	1000	138	39	10368 (0.95)
79	49	2	21	1000	151	20	9174 (0.93)
100	28	4	31	1000	119	28	11561 (0.92)
66	60	0	47	1000	181	9	7886 (0.96)
52	36	1	13	1000	228	15	5981 (0.92)
36	17	0	43	1000	326	9	4095 (0.91)
56	56	4	18	1000	213	18	6477 (0.93)
39	10	0	79	1000	300	6	4333 (0.89)
41	13	3	36	1000	271	23	4666 (0.91)
25	44	3	75	1000	456	22	2959 (0.95)
50	3	3	26	1000	238	34	5393 (0.86)
61	21	1	48	1000	195	11	6841 (0.90)
59	12	0	36	1000	202	3	6550 (0.89)
