bw	ftp	rftp	web	qlen	maxd	avgd	rate
--------------------------------------------------------------------
62	11	3	47	367	62	26	7556 (0.97)
58	54	0	72	367	75	69	7249 (1.00)
45	19	2	27	367	97	48	5579 (0.99)
22	19	3	3	367	183	98	2712 (0.99)
18	12	3	58	367	215	107	2220 (0.99)
61	12	3	78	367	66	27	7449 (0.98)
93	35	0	80	367	47	42	11623 (1.00)
10	41	0	16	367	433	395	1250 (1.00)
7	42	0	26	367	621	544	875 (1.00)
50	11	4	68	367	76	29	6009 (0.96)
7	2	1	18	367	538	217	831 (0.95)
7	60	3	49	367	593	335	875 (1.00)
73	56	2	69	367	60	31	9114 (1.00)
50	17	4	12	367	82	36	6097 (0.98)
98	50	3	42	367	45	22	12231 (1.00)
85	28	3	42	367	52	24	10584 (1.00)
93	39	2	12	367	47	25	11613 (1.00)
52	38	0	13	367	84	71	6499 (1.00)
8	3	4	16	367	423	118	821 (0.82)
76	19	2	75	367	57	27	9433 (0.99)
90	36	3	15	367	48	24	11220 (1.00)
16	46	0	76	367	266	233	2000 (1.00)
91	52	1	55	367	48	26	11370 (1.00)
9	10	0	44	367	473	365	1125 (1.00)
20	33	4	17	367	208	109	2491 (1.00)
81	45	4	39	367	54	26	10114 (1.00)
73	8	0	30	367	60	51	9120 (1.00)
66	5	2	72	367	56	20	7327 (0.89)
3	16	0	49	367	1295	930	375 (1.00)
44	59	1	52	367	99	52	5498 (1.00)
51	6	4	72	367	66	23	5890 (0.92)
67	33	4	24	367	65	30	8330 (0.99)
94	20	2	43	367	47	20	11670 (0.99)
92	29	0	59	367	48	41	11498 (1.00)
32	11	1	42	367	132	66	3941 (0.99)
76	16	1	23	367	58	27	9438 (0.99)
19	53	1	50	367	228	134	2375 (1.00)
90	52	2	19	367	49	24	11241 (1.00)
39	61	1	78	367	112	61	4873 (1.00)
13	29	1	74	367	326	197	1624 (1.00)
41	19	4	58	367	98	47	5061 (0.99)
49	18	4	35	367	84	35	6058 (0.99)
26	55	4	36	367	167	85	3246 (1.00)
91	12	3	45	367	47	16	10969 (0.96)
68	1	3	8	367	65	11	6493 (0.76)
26	16	1	47	367	166	91	3219 (0.99)
75	38	4	49	367	58	28	9359 (1.00)
15	13	2	53	367	266	136	1845 (0.98)
45	33	3	73	367	97	48	5615 (1.00)
83	39	2	20	367	53	28	10365 (1.00)
68	23	2	13	367	64	29	8452 (0.99)
41	58	2	80	367	106	54	5122 (1.00)
34	63	0	61	367	128	120	4249 (1.00)
45	28	3	77	367	97	48	5608 (1.00)
52	63	0	0	367	84	74	6499 (1.00)
63	6	1	63	367	67	24	7354 (0.93)
14	39	1	64	367	296	176	1750 (1.00)
15	26	1	9	367	290	176	1874 (1.00)
25	13	1	10	367	175	88	3077 (0.98)
33	10	0	9	367	133	108	4124 (1.00)
79	43	3	19	367	55	26	9859 (1.00)
78	21	0	60	367	56	49	9748 (1.00)
78	60	0	6	367	56	48	9749 (1.00)
35	54	2	52	367	125	62	4373 (1.00)
89	3	4	23	367	49	12	9030 (0.81)
43	35	4	57	367	101	51	5354 (1.00)
55	11	1	62	367	79	34	6751 (0.98)
13	39	1	64	367	327	197	1624 (1.00)
61	40	3	50	367	72	34	7610 (1.00)
52	38	1	13	367	84	44	6490 (1.00)
74	3	0	53	367	59	45	9236 (1.00)
51	16	2	52	367	85	39	6297 (0.99)
40	14	0	22	367	110	94	4999 (1.00)
60	25	4	73	367	71	32	7435 (0.99)
22	64	0	54	367	197	180	2750 (1.00)
82	27	2	18	367	53	27	10222 (1.00)
78	26	3	63	367	56	27	9693 (0.99)
51	49	2	54	367	85	44	6370 (1.00)
7	31	3	12	367	598	357	874 (1.00)
51	18	1	31	367	85	44	6341 (0.99)
23	46	4	24	367	184	90	2869 (1.00)
31	35	0	68	367	140	125	3874 (1.00)
22	27	3	75	367	189	93	2744 (1.00)
97	20	4	23	367	45	17	11961 (0.99)
3	61	4	28	367	1351	752	375 (1.00)
41	5	1	13	367	99	41	4792 (0.93)
68	44	2	10	367	64	31	8491 (1.00)
38	1	1	68	367	107	23	3715 (0.78)
54	51	0	42	367	81	73	6749 (1.00)
45	22	3	24	367	94	44	5589 (0.99)
82	22	2	15	367	53	25	10209 (1.00)
63	4	2	52	367	58	19	7133 (0.91)
66	13	0	4	367	67	52	8248 (1.00)
39	14	1	61	367	111	56	4823 (0.99)
17	61	2	3	367	255	149	2124 (1.00)
82	36	0	49	367	54	46	10248 (1.00)
63	1	0	45	367	69	47	7855 (1.00)
56	35	3	79	367	78	40	6988 (1.00)
75	15	1	35	367	59	28	9291 (0.99)
33	52	0	50	367	132	121	4124 (1.00)
41	20	2	50	367	107	54	5098 (0.99)
18	54	0	24	367	243	221	2250 (1.00)
93	16	3	74	367	47	18	11409 (0.98)
4	9	4	66	367	879	469	500 (1.00)
68	13	2	54	367	64	26	8372 (0.98)
47	17	3	39	367	91	43	5813 (0.99)
57	39	0	47	367	77	68	7124 (1.00)
54	63	2	8	367	81	41	6746 (1.00)
97	15	2	77	367	45	19	11963 (0.99)
3	9	2	60	367	1205	673	375 (1.00)
21	11	0	35	367	207	173	2625 (1.00)
54	64	4	76	367	81	38	6744 (1.00)
46	64	0	13	367	95	83	5749 (1.00)
63	42	4	74	367	70	33	7863 (1.00)
79	55	4	20	367	56	26	9863 (1.00)
71	4	2	67	367	56	14	7570 (0.85)
23	15	3	73	367	172	85	2844 (0.99)
65	5	0	78	367	67	54	8120 (1.00)
70	2	2	42	367	63	13	7434 (0.85)
31	38	1	62	367	140	83	3868 (1.00)
