bw	ftp	rftp	web	qlen	maxd	avgd	rate
--------------------------------------------------------------------
41	45	2	20	-	50	15	4747 (0.93)
85	13	3	36	-	50	27	10010 (0.94)
63	9	0	41	-	50	3	6939 (0.88)
25	43	4	7	-	50	15	2907 (0.93)
44	43	1	2	-	50	14	5104 (0.93)
78	22	0	70	-	50	4	8823 (0.90)
86	10	4	2	-	50	26	10017 (0.93)
44	17	1	64	-	50	24	5153 (0.94)
84	31	2	66	-	50	23	10027 (0.95)
24	17	0	25	-	50	7	2774 (0.92)
83	54	4	53	-	50	16	9727 (0.94)
59	13	0	34	-	50	3	6527 (0.89)
41	39	1	80	-	50	16	4779 (0.93)
8	8	1	10	-	50	21	899 (0.90)
66	15	4	28	-	50	17	7603 (0.92)
3	51	3	15	-	50	21	364 (0.97)
62	4	1	20	-	50	24	7244 (0.93)
48	33	3	70	-	50	14	5498 (0.92)
70	43	2	3	-	50	16	8114 (0.93)
94	56	1	73	-	50	18	10980 (0.93)
55	20	2	6	-	50	31	6570 (0.96)
40	56	3	59	-	50	16	4697 (0.94)
27	30	0	28	-	50	9	3189 (0.94)
57	1	2	24	-	50	9	4025 (0.56)
31	33	3	69	-	50	13	3584 (0.92)
70	26	4	51	-	50	26	8257 (0.94)
15	42	0	53	-	50	15	1866 (1.00)
15	51	0	34	-	50	16	1870 (1.00)
5	34	4	29	-	50	21	611 (0.98)
45	11	0	9	-	50	3	4916 (0.87)
88	40	0	65	-	50	5	10249 (0.93)
31	5	1	64	-	50	24	3551 (0.92)
76	42	4	20	-	50	27	9086 (0.96)
53	5	2	39	-	50	24	5813 (0.88)
92	57	2	13	-	50	17	10695 (0.93)
58	33	4	3	-	50	23	6823 (0.94)
26	36	0	27	-	50	9	3088 (0.95)
26	10	3	26	-	50	23	2957 (0.91)
78	21	4	44	-	50	24	9304 (0.95)
7	11	1	54	-	50	17	825 (0.94)
5	59	0	38	-	50	20	623 (1.00)
25	51	2	54	-	50	17	2987 (0.96)
29	44	2	25	-	50	17	3374 (0.93)
60	18	1	31	-	50	22	7020 (0.94)
5	50	4	71	-	50	23	616 (0.99)
91	19	4	76	-	50	28	10889 (0.96)
85	13	2	56	-	50	21	10088 (0.95)
80	30	3	21	-	50	14	9044 (0.90)
93	24	3	47	-	50	28	11104 (0.96)
22	27	4	70	-	50	14	2551 (0.93)
32	9	0	65	-	50	4	3569 (0.89)
31	10	0	61	-	50	4	3462 (0.89)
43	25	1	45	-	50	18	4876 (0.91)
20	61	4	52	-	50	17	2460 (0.98)
91	32	1	67	-	50	17	10364 (0.91)
77	52	4	45	-	50	18	9013 (0.94)
36	39	3	7	-	50	18	4182 (0.93)
33	2	1	48	-	50	16	3306 (0.80)
24	35	1	1	-	50	15	2765 (0.92)
92	49	1	41	-	50	15	10635 (0.92)
76	19	4	0	-	50	15	8779 (0.92)
37	19	1	76	-	50	23	4295 (0.93)
14	2	2	18	-	50	15	1274 (0.73)
28	41	0	68	-	50	13	3353 (0.96)
73	27	1	46	-	50	22	8399 (0.92)
20	26	1	6	-	50	14	2310 (0.92)
48	59	1	59	-	50	16	5631 (0.94)
54	21	3	8	-	50	26	6407 (0.95)
24	33	3	40	-	50	14	2782 (0.93)
11	61	2	50	-	50	21	1360 (0.99)
33	32	3	63	-	50	17	3794 (0.92)
1	8	1	50	-	50	32	125 (1.00)
49	35	1	27	-	50	17	5643 (0.92)
64	32	0	42	-	50	5	7394 (0.92)
53	31	3	10	-	50	32	6377 (0.96)
30	20	2	74	-	50	16	3432 (0.92)
84	22	4	33	-	50	19	9867 (0.94)
67	48	4	17	-	50	14	7706 (0.92)
71	42	2	26	-	50	17	8185 (0.92)
44	8	3	51	-	50	26	5016 (0.91)
16	41	3	50	-	50	16	1944 (0.97)
6	34	3	16	-	50	21	734 (0.98)
15	64	3	16	-	50	17	1850 (0.99)
78	2	0	39	-	50	1	8900 (0.91)
47	59	3	45	-	50	17	5507 (0.94)
67	61	0	56	-	50	10	8006 (0.96)
54	64	3	46	-	50	15	6308 (0.93)
62	21	4	68	-	50	31	7433 (0.96)
13	2	3	64	-	50	15	1228 (0.76)
25	52	0	54	-	50	15	3069 (0.98)
33	54	2	76	-	50	16	3903 (0.95)
84	10	4	6	-	50	21	10020 (0.95)
67	45	3	70	-	50	13	7796 (0.93)
81	51	2	0	-	50	13	9379 (0.93)
69	1	2	80	-	50	9	4669 (0.54)
19	56	4	3	-	50	17	2309 (0.97)
3	56	4	74	-	50	28	373 (0.99)
94	4	0	55	-	50	3	11487 (0.98)
82	44	1	61	-	50	17	9449 (0.92)
94	14	1	27	-	50	26	11201 (0.95)
70	49	4	73	-	50	14	8134 (0.93)
67	3	4	35	-	50	18	5974 (0.71)
3	27	0	58	-	50	24	373 (1.00)
94	6	4	70	-	50	23	9637 (0.82)
7	35	2	30	-	50	19	858 (0.98)
60	52	3	9	-	50	17	7012 (0.93)
28	15	2	5	-	50	17	3198 (0.91)
95	25	0	14	-	50	3	10696 (0.90)
89	5	4	37	-	50	22	9128 (0.82)
73	2	1	79	-	50	16	7542 (0.83)
4	40	0	40	-	50	20	496 (0.99)
22	19	1	66	-	50	17	2540 (0.92)
72	37	1	21	-	50	18	8226 (0.91)
2	29	0	48	-	50	25	249 (1.00)
35	29	0	28	-	50	7	4104 (0.94)
89	21	0	8	-	50	3	9954 (0.89)
92	54	2	77	-	50	20	10718 (0.93)
2	42	2	76	-	50	29	250 (1.00)
23	13	2	9	-	50	17	2566 (0.89)
54	38	0	8	-	50	6	6299 (0.93)
