bw	num	pct	qlen	maxq	avgq	maxd	avgd	rate
---------------------------------------------------------------------------
0.5	1	0.68	2	1.5	0.0	23	0	18.4 (0.29)
0.5	2	0.68	2	3.5	0.1	54	0	23.4 (0.37)
0.5	3	0.68	2	5.5	0.0	85	0	28.1 (0.44)
0.5	4	0.68	2	7.5	0.0	117	0	31.7 (0.50)
0.5	5	0.68	2	7.5	0.1	117	1	33.6 (0.53)
0.5	6	0.68	2	9.5	0.1	148	1	35.1 (0.55)
0.5	8	0.68	2	11.5	0.1	179	2	36.9 (0.58)
0.5	10	0.68	2	15.0	0.2	234	3	38.3 (0.60)
0.5	12	0.68	2	17.0	0.2	265	3	38.8 (0.61)
0.5	14	0.68	2	19.0	0.3	296	4	39.4 (0.62)
0.5	16	0.68	2	23.0	0.4	359	6	39.7 (0.62)
0.5	20	0.68	2	27.0	0.4	421	6	39.8 (0.62)
0.5	24	0.68	2	31.5	0.7	492	11	40.3 (0.63)
0.5	30	0.68	2	31.5	0.7	492	11	40.2 (0.63)
0.5	40	0.68	2	31.5	1.0	492	15	41.0 (0.64)
1	1	0.75	3	3.5	0.0	27	0	70.2 (0.55)
1	2	0.75	3	4.0	0.0	31	0	68.5 (0.54)
1	3	0.75	3	5.5	0.0	42	0	73.6 (0.58)
1	4	0.75	3	7.5	0.0	58	0	75.4 (0.59)
1	5	0.75	3	9.5	0.1	74	0	76.5 (0.60)
1	6	0.75	3	11.5	0.0	89	0	79.4 (0.62)
1	8	0.75	3	15.0	0.1	117	0	83.0 (0.65)
1	10	0.75	3	17.0	0.1	132	0	85.2 (0.67)
1	12	0.75	3	21.0	0.1	164	0	86.6 (0.68)
1	14	0.75	3	23.0	0.1	179	0	88.6 (0.69)
1	16	0.75	3	27.0	0.2	210	1	89.5 (0.70)
1	20	0.75	3	32.5	0.3	253	2	90.9 (0.71)
1	24	0.75	3	38.5	0.5	300	3	91.4 (0.71)
1	30	0.75	3	46.5	0.6	363	4	92.1 (0.72)
1	40	0.75	3	62.0	1.1	484	8	92.8 (0.72)
2	1	0.81	3	4.5	0.0	17	0	142.5 (0.56)
2	2	0.81	3	5.5	0.0	21	0	132.4 (0.52)
2	3	0.81	3	5.5	0.0	21	0	124.0 (0.48)
2	4	0.81	3	7.5	0.0	29	0	135.7 (0.53)
2	5	0.81	3	9.5	0.0	37	0	151.2 (0.59)
2	6	0.81	3	11.5	0.1	44	0	150.8 (0.59)
2	8	0.81	3	15.5	0.0	60	0	157.6 (0.62)
2	10	0.81	3	19.0	0.1	74	0	166.5 (0.65)
2	12	0.81	3	21.0	0.1	82	0	172.2 (0.67)
2	14	0.81	3	25.0	0.1	97	0	176.7 (0.69)
2	16	0.81	3	29.0	0.1	113	0	177.7 (0.69)
2	20	0.81	3	35.0	0.2	136	0	184.9 (0.72)
2	24	0.81	3	40.5	0.4	158	1	188.4 (0.74)
2	30	0.81	3	50.5	0.6	197	2	192.8 (0.75)
2	40	0.81	3	66.0	1.2	257	4	197.8 (0.77)
3	1	0.84	3	5.5	0.0	14	0	208.7 (0.54)
3	2	0.84	3	6.5	0.0	16	0	135.1 (0.35)
3	3	0.84	3	8.0	0.0	20	0	193.5 (0.50)
3	4	0.84	3	8.5	0.0	22	0	194.8 (0.51)
3	5	0.84	3	9.5	0.0	24	0	210.7 (0.55)
3	6	0.84	3	11.5	0.0	29	0	214.8 (0.56)
3	8	0.84	3	15.5	0.1	40	0	231.0 (0.60)
3	10	0.84	3	19.0	0.1	49	0	241.5 (0.63)
3	12	0.84	3	23.0	0.1	59	0	248.1 (0.65)
3	14	0.84	3	25.0	0.1	65	0	252.5 (0.66)
3	16	0.84	3	29.0	0.1	75	0	258.5 (0.67)
3	20	0.84	3	35.0	0.1	91	0	270.9 (0.71)
3	24	0.84	3	42.5	0.2	110	0	279.4 (0.73)
3	30	0.84	3	52.5	0.3	136	0	288.3 (0.75)
3	40	0.84	3	68.0	0.5	177	1	298.8 (0.78)
4	1	0.85	3	6.0	0.1	11	0	266.8 (0.52)
4	2	0.85	3	6.0	0.0	11	0	259.8 (0.51)
4	3	0.85	3	8.5	0.0	16	0	211.3 (0.41)
4	4	0.85	3	7.5	0.1	14	0	225.3 (0.44)
4	5	0.85	3	9.5	0.1	18	0	239.3 (0.47)
4	6	0.85	3	11.5	0.1	22	0	282.7 (0.55)
4	8	0.85	3	15.5	0.0	30	0	292.4 (0.57)
4	10	0.85	3	19.0	0.1	37	0	289.9 (0.57)
4	12	0.85	3	23.0	0.1	44	0	311.2 (0.61)
4	14	0.85	3	27.0	0.1	52	0	320.9 (0.63)
4	16	0.85	3	29.0	0.1	56	0	331.4 (0.65)
4	20	0.85	3	37.0	0.1	72	0	346.6 (0.68)
4	24	0.85	3	42.5	0.2	83	0	356.9 (0.70)
4	30	0.85	3	52.5	0.2	102	0	372.8 (0.73)
4	40	0.85	3	70.0	0.3	136	0	391.1 (0.76)
5	1	0.86	3	6.5	0.1	10	0	318.4 (0.50)
5	2	0.86	3	6.5	0.0	10	0	125.1 (0.20)
5	3	0.86	3	8.0	0.0	12	0	287.1 (0.45)
5	4	0.86	3	7.5	0.1	11	0	307.0 (0.48)
5	5	0.86	3	9.5	0.1	14	0	306.7 (0.48)
5	6	0.86	3	11.5	0.1	17	0	330.6 (0.52)
5	8	0.86	3	15.5	0.1	24	0	347.8 (0.54)
5	10	0.86	3	19.0	0.1	29	0	369.0 (0.58)
5	12	0.86	3	23.0	0.1	35	0	371.7 (0.58)
5	14	0.86	3	27.0	0.1	42	0	388.2 (0.61)
5	16	0.86	3	29.0	0.1	45	0	393.7 (0.62)
5	20	0.86	3	37.0	0.1	57	0	425.3 (0.66)
5	24	0.86	3	42.5	0.1	66	0	436.1 (0.68)
5	30	0.86	3	52.5	0.2	82	0	455.1 (0.71)
5	40	0.86	3	70.0	0.2	109	0	479.3 (0.75)
6	1	0.87	4	10.5	0.0	13	0	385.7 (0.50)
6	2	0.87	4	11.5	0.1	14	0	439.4 (0.57)
6	3	0.87	4	13.0	0.1	16	0	414.1 (0.54)
6	4	0.87	4	12.5	0.0	16	0	392.2 (0.51)
6	5	0.87	4	13.5	0.1	17	0	429.9 (0.56)
6	6	0.87	4	16.0	0.1	20	0	466.2 (0.61)
6	8	0.87	4	15.5	0.1	20	0	471.6 (0.61)
6	10	0.87	4	19.0	0.1	24	0	478.8 (0.62)
6	12	0.87	4	23.0	0.1	29	0	493.3 (0.64)
6	14	0.87	4	27.0	0.1	35	0	507.4 (0.66)
6	16	0.87	4	31.0	0.1	40	0	521.3 (0.68)
6	20	0.87	4	38.5	0.1	50	0	538.1 (0.70)
6	24	0.87	4	46.5	0.1	60	0	544.7 (0.71)
6	30	0.87	4	56.5	0.2	73	0	567.2 (0.74)
6	40	0.87	4	72.0	0.3	93	0	587.8 (0.77)
8	1	0.89	4	12.5	0.0	12	0	455.9 (0.45)
8	2	0.89	4	12.5	0.1	12	0	558.4 (0.55)
8	3	0.89	4	14.5	0.1	14	0	612.3 (0.60)
8	4	0.89	4	14.0	0.1	13	0	574.6 (0.56)
8	5	0.89	4	14.5	0.1	14	0	591.6 (0.58)
8	6	0.89	4	17.0	0.1	16	0	601.3 (0.59)
8	8	0.89	4	19.5	0.1	19	0	611.3 (0.60)
8	10	0.89	4	19.0	0.2	18	0	612.1 (0.60)
8	12	0.89	4	24.0	0.2	23	0	665.1 (0.65)
8	14	0.89	4	27.0	0.2	26	0	674.9 (0.66)
8	16	0.89	4	31.0	0.2	30	0	672.1 (0.66)
8	20	0.89	4	38.5	0.2	37	0	705.1 (0.69)
