bw	num	pct	qlen	maxq	avgq	maxd	avgd	rate
---------------------------------------------------------------------------
0.5	1	0.50	2	4.5	0.1	70	0	26.8 (0.42)
0.5	1	0.50	3	4.5	0.0	70	0	28.7 (0.45)
0.5	1	0.50	4	4.5	0.1	70	0	29.5 (0.46)
0.5	1	0.50	5	6.0	0.0	93	0	30.2 (0.47)
0.5	1	0.50	6	6.0	0.0	93	0	30.7 (0.48)
0.5	1	0.50	7	6.0	0.1	93	1	30.7 (0.48)
0.5	1	0.50	8	6.0	0.0	93	0	30.8 (0.48)
0.5	1	0.52	2	4.5	0.1	70	0	27.4 (0.43)
0.5	1	0.52	3	4.5	0.1	70	1	29.4 (0.46)
0.5	1	0.52	4	4.5	0.0	70	0	30.3 (0.47)
0.5	1	0.52	5	4.5	0.1	70	1	31.2 (0.49)
0.5	1	0.52	6	4.5	0.0	70	0	31.7 (0.50)
0.5	1	0.52	7	4.5	0.1	70	1	31.9 (0.50)
0.5	1	0.52	8	4.5	0.0	70	0	32.0 (0.50)
0.5	1	0.54	2	4.5	0.1	70	0	28.0 (0.44)
0.5	1	0.54	3	4.5	0.1	70	1	30.3 (0.47)
0.5	1	0.54	4	4.5	0.1	70	1	31.2 (0.49)
0.5	1	0.54	5	4.5	0.1	70	1	32.0 (0.50)
0.5	1	0.54	6	6.0	0.1	93	1	32.8 (0.51)
0.5	1	0.54	7	6.0	0.0	93	0	33.1 (0.52)
0.5	1	0.54	8	6.0	0.1	93	0	33.2 (0.52)
0.5	1	0.56	2	4.5	0.1	70	0	28.5 (0.45)
0.5	1	0.56	3	4.5	0.1	70	1	31.0 (0.48)
0.5	1	0.56	4	4.5	0.1	70	1	32.0 (0.50)
0.5	1	0.56	5	6.0	0.2	93	2	33.0 (0.52)
0.5	1	0.56	6	7.5	0.1	117	1	33.8 (0.53)
0.5	1	0.56	7	7.5	0.1	117	2	34.2 (0.53)
0.5	1	0.56	8	9.0	0.1	140	0	34.6 (0.54)
0.5	1	0.58	2	4.5	0.1	70	1	27.6 (0.43)
0.5	1	0.58	3	4.5	0.2	70	2	31.0 (0.48)
0.5	1	0.58	4	7.5	0.2	117	2	31.7 (0.50)
